keyword,intersection
감천문화마을골목축제,"['괜찮다', '정신없다', '맛있다', '착하다', '넓다', '반갑다', '재미나다', '맑다', '정겹다', '시끄럽다', '재밌다', '부드럽다', '어둡다', '멋지다', '아쉽다', '맛나다', '아름답다', '멋있다', '새롭다', '부럽다', '놀랍다', '뜨겁다', '엄청나다', '이쁘다', '재미있다', '알차다', '힘들다', '편하다', '예쁘다', '붉다', '비싸다', '즐겁다', '밝다', '야무지다', '귀엽다']"
강서낙동강변30리벚꽃축제,"['괜찮다', '맛있다', '넓다', '맑다', '시끄럽다', '깊다', '드넓다', '어둡다', '멋지다', '아쉽다', '맛나다', '아름답다', '멋있다', '예뿌다', '새롭다', '부럽다', '곱다', '흐드러지다', '엄청나다', '이쁘다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '앙증맞다', '부끄럽다', '즐겁다', '밝다', '정신없다', '귀엽다']"
개금밀면,"['괜찮다', '맛있다', '슬프다', '넓다', '맑다', '맛없다', '시끄럽다', '재밌다', '깊다', '부드럽다', '멋지다', '고맙다', '어둡다', '진하다', '눈부시다', '과하다', '아쉽다', '맛나다', '색다르다', '아름답다', '멋있다', '차갑다', '놀랍다', '기쁘다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '재미있다', '알차다', '힘들다', '편하다', '예쁘다', '비싸다', '습하다', '밝다', '야무지다', '귀엽다']"
개미집 본점,"['괜찮다', '맛있다', '낯설다', '착하다', '넓다', '맑다', '맛없다', '정겹다', '재밌다', '깊다', '부드럽다', '진하다', '아쉽다', '멋있다', '슴슴하다', '부럽다', '놀랍다', '엄청나다', '이쁘다', '알차다', '힘들다', '편하다', '예쁘다', '붉다', '힘차다', '밝다', '야무지다', '귀엽다', '배고프다']"
갤러리 ERD 부산,"['멋지다', '편하다', '힘들다', '예쁘다', '맛있다', '즐겁다', '밝다', '이쁘다', '야무지다', '귀엽다', '깊다', '멋있다', '새롭다']"
거대갈비,"['괜찮다', '쨍하다', '맛있다', '정신없다', '슬프다', '넓다', '뛰어나다', '맑다', '맛없다', '시끄럽다', '재밌다', '깊다', '부드럽다', '멋지다', '진하다', '아쉽다', '맛나다', '푸르다', '아름답다', '멋있다', '예뿌다', '슴슴하다', '부럽다', '놀랍다', '뜨거우다', '싱겁다', '엄청나다', '이쁘다', '인상깊다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '예쁘다', '비싸다', '즐겁다', '휑하다', '밝다', '야무지다', '귀엽다']"
고래사어묵,"['괜찮다', '정신없다', '맛있다', '낯설다', '슬프다', '넓다', '반갑다', '재미나다', '맑다', '맛없다', '재밌다', '깊다', '부드럽다', '멋지다', '고맙다', '파랗다', '진하다', '아쉽다', '맛나다', '활기차다', '멋있다', '예뿌다', '부럽다', '차갑다', '끊임없다', '구리다', '뜨겁다', '엄청나다', '이쁘다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '예쁘다', '앙증맞다', '비싸다', '습하다', '밝다', '야무지다', '귀엽다']"
고옥,"['괜찮다', '맛있다', '낯설다', '착하다', '슬프다', '반갑다', '넓다', '맑다', '맛없다', '재밌다', '깊다', '부드럽다', '과하다', '아쉽다', '맛나다', '아름답다', '변함없다', '멋있다', '새롭다', '부럽다', '기쁘다', '싱겁다', '엄청나다', '이쁘다', '까다롭다', '알맞다', '기름지다', '재미있다', '알차다', '힘들다', '편하다', '흐리다', '예쁘다', '비싸다', '친하다', '야무지다', '귀엽다', '배고프다']"
곰내연밭,"['괜찮다', '쨍하다', '맛있다', '착하다', '넓다', '반갑다', '맑다', '정겹다', '재밌다', '깊다', '드넓다', '부드럽다', '멋지다', '진하다', '아쉽다', '순하다', '맛나다', '색다르다', '푸르다', '아름답다', '멋있다', '남다르다', '슴슴하다', '곱다', '놀랍다', '뜨거우다', '가파르다', '부드러우다', '엄청나다', '이쁘다', '재미있다', '힘들다', '편하다', '흐리다', '예쁘다', '앙증맞다', '즐겁다', '습하다', '귀엽다']"
공극샌드커피,"['괜찮다', '맛있다', '착하다', '넓다', '맑다', '맛없다', '재밌다', '드넓다', '고맙다', '멋지다', '파랗다', '진하다', '아쉽다', '맛나다', '환하다', '푸르다', '아름답다', '멋있다', '예뿌다', '새롭다', '슴슴하다', '부럽다', '엄청나다', '이쁘다', '알맞다', '배부르다', '재미있다', '알차다', '힘들다', '흐리다', '편하다', '붉다', '예쁘다', '비싸다', '즐겁다', '속상하다', '습하다', '밝다', '휑하다', '야무지다', '귀엽다']"
