travel_spot_name,ts_long,ts_lat
영도관광사격장,129.0541195,35.07352919
다대 실내수영장,128.9614393,35.0498468
[부산 갈맷길 2코스] 2구간 민락교~오륙도,129.1325241,35.16182631
해양스포츠교실,129.0772845,35.0613893
문탠로드,129.1756011,35.15749704
송도 구름산책로(스카이워크),129.0224999,35.07536451
구덕야영장,129.0097191,35.12558921
회동수원지 둘레길,129.1166488,35.22525502
해파랑길 2코스,129.170682,35.15845517
해파랑길 1코스,129.1231322,35.10147733
해안누리길 몰운대길,128.961431,35.04983847
부산항힐링야영장,129.0428638,35.1143133
스카이라인 루지(부산),129.2202656,35.19437429
대저캠핑장,128.9847746,35.20745458
초원숲속캠핑장,129.188092,35.34498459
장안캠프,129.2524032,35.34188058
화명오토캠핑장,129.0007034,35.22240875
동래 베네스트 골프클럽,129.1005157,35.26525302
제이스글램핑,129.2343704,35.27727916
임랑카라반파크,129.2593979,35.30950657
더무빙카라반,129.2701438,35.32270529
지오클럽,129.2353514,35.25784524
구포 무장애숲길,129.0007429,35.19846977
화명수상레포츠타운,129.0007034,35.22240875
삼락수상레포츠타운,128.9682187,35.17289704
서프마린,129.114515,35.14618884
송정서핑학교,129.2003983,35.17981444
다이아몬드베이,129.1153681,35.13274869
송도해안볼레길,129.0189477,35.06722369
미포철길,129.1728513,35.15819691
부산요트투어 3355마린,129.1419845,35.15984059
부산항 힐링야영장,129.0435526,35.11342731
요트탈래,129.1520976,35.1566217
남파랑길(부산),129.1212268,35.10033854
해운대리버크루즈,129.1276938,35.1677377
태종대스쿠버다이빙,129.0764693,35.0618129
부산어린이워터파크_키득키득파크,129.0407059,35.1894177
화명생태공원(산악자전거),129.0035081,35.2266865
수영강상설카약체험,129.122943,35.1680012
부산아쿠아리움,129.1610038,35.1592713
광안리패들보드,129.11525,35.146254
부산해양치유프로그램(해운대),129.1603842,35.1586975
부산해양치유프로그램(광안리),129.118666,35.1531696
부산해양치유프로그램(다대포),128.9662387,35.0469015
부산키자니아,129.1282951,35.169945
부산태권도체험,129.1071495,35.1380323
부산어묵체험관(삼진어묵),129.042794,35.0929647
낙동강생태탐방,128.9491877,35.109748
삼락생태공원오토캠핑장,128.9735403,35.1687484
영도마리나오토캠핑장,129.0611296,35.1018002
부산아이스링크,129.1297466,35.1687032
달맞이갤러리도슨트투어,129.0466444,35.0768974
동래온천(허심청),129.0826365,35.2210076
범어사 템플스테이,129.0687639,35.2839899
베리굿농장체험,129.1149962,35.3080303
부산자연곤충마을,128.9454039,35.2216282
신발원,129.0387238,35.1148125
초량밀면,129.040609,35.117359
해운대암소갈비집,129.1663955,35.1632154
본전돼지국밥,129.0414111,35.116595
합천돼지국밥,128.9803153,35.1619895
상국이네,129.1629534,35.1619919
이재모피자,129.0305985,35.1021046
금수복국 본점,129.1645061,35.1624205
웨이브온커피,129.2695705,35.3222464
해성막창집 본점,129.1632924,35.163905
기장손칼국수,129.0581568,35.1556577
해목,129.1597712,35.1617421
60년전통 할매국밥,129.0561961,35.1410164
할매 가야밀면,129.0312451,35.0989316
고옥,129.1097226,35.1436082
할매집,129.1649666,35.163312
밀양순대돼지국밥 부산본점,129.1603015,35.1614459
