,name,lat,lon,geometry,travel_bus
110,더무빙카라반,35.3222464,129.2695705,POINT (129.2695705 35.3222464),기장문화예절학교
111,더베이101,35.1560938,129.1520503,POINT (129.1520503 35.1560938),동백섬
112,델타루 (에코델타시티 전망대),35.1363089,128.9218285,POINT (128.9218285 35.1363089),신노전
113,동경밥상,35.1483979,129.1138679,POINT (129.1138679 35.1483979),광일맨션
114,동래 베네스트 골프클럽,35.2651143,129.1006516,POINT (129.1006516 35.2651143),하정리입구
115,동래온천(허심청),35.219814,129.0820719,POINT (129.0820719 35.219814),온천장
116,동래온천길(온천천 산책코스),35.1915884,129.1024469,POINT (129.1024469 35.1915884),월마트
117,동래읍성 역사축제,35.2118622,129.0899982,POINT (129.0899982 35.2118622),동래문화회관
118,동래읍성지,35.21006,129.0901886,POINT (129.0901886 35.21006),복천박물관
119,동래할매파전,35.2046345,129.0838253,POINT (129.0838253 35.2046345),부산은행동래금융센터
120,동래향교,35.207679,129.0840645,POINT (129.0840645 35.207679),명륜초등학교
121,동백섬횟집,35.1604152,129.1546803,POINT (129.1546803 35.1604152),동백섬입구
122,동삼동패총전시관,35.0712598,129.0797817,POINT (129.0797817 35.0712598),해양대입구
123,딤딤섬,35.1687032,129.1297466,POINT (129.1297466 35.1687032),센텀시티
124,딤타오,35.1639406,129.156471,POINT (129.156471 35.1639406),아림비치맨션
125,땅뫼산,35.2455155,129.1174151,POINT (129.1174151 35.2455155),오륜본동마을
126,뚱보집,35.100699,129.0361361,POINT (129.0361361 35.100699),부산데파트
127,라라관,35.1530335,129.0620014,POINT (129.0620014 35.1530335),경남공업고등학교
128,라라라페스티벌,35.229771,129.089356,POINT (129.089356 35.229771),부산대역
129,마가만두,35.1145175,129.0385434,POINT (129.0385434 35.1145175),부산역
130,마라도,35.1574798,129.1265928,POINT (129.1265928 35.1574798),진로비치아파트
131,마린시티,35.1554007,129.146083,POINT (129.146083 35.1554007),한화리조트
132,마이클어반팜테이블,35.1769907,129.1154605,POINT (129.1154605 35.1769907),고려제강
133,마이페이보릿쿠키,35.1589216,129.064227,POINT (129.064227 35.1589216),전포사거리
134,마하사,35.1636225,129.0875541,POINT (129.0875541 35.1636225),마하사
135,만덕고개 누리길 전망데크,35.2143228,129.0571777,POINT (129.0571777 35.2143228),만덕터널입구
136,만들숲,35.1587335,129.063596,POINT (129.063596 35.1587335),NC서면점
137,맥도생태공원,35.1498233,128.9558365,POINT (128.9558365 35.1498233),맥도자연생태공원
138,명지동근린공원,35.0867671,128.9042158,POINT (128.9042158 35.0867671),롯데캐슬아파트
139,명지시장전어축제,35.1128079,128.9313292,POINT (128.9313292 35.1128079),명지시장
140,모노플렉스 오시리아,35.2445494,129.2221542,POINT (129.2221542 35.2445494),기장군청
141,모루식당,35.1559886,129.0640066,POINT (129.0640066 35.1559886),전포사거리
142,모모스커피 본점,35.2192318,129.0864874,POINT (129.0864874 35.2192318),동해중학교
143,모모스커피 영도점,35.0961199,129.042549,POINT (129.042549 35.0961199),홈플러스
144,모모야마,35.156766,129.05587,POINT (129.05587 35.156766),롯데호텔
145,묘관음사,35.3230792,129.2660433,POINT (129.2660433 35.3230792),묘관음사입구
146,문탠로드,35.1574096,129.1755364,POINT (129.1755364 35.1574096),일신하일라빌라.경동메르빌골드
147,문토스트,35.1809125,129.2043831,POINT (129.2043831 35.1809125),송정해수욕장
148,물빛색스튜디오,35.2093593,128.9797652,POINT (128.9797652 35.2093593),강서구청역
149,뮤지엄 원,35.17369,129.126901,POINT (129.126901 35.17369),SK텔레콤
150,미륵사,35.274003,129.0489825,POINT (129.0489825 35.274003),상마마을.범어사박물관
151,미미루,35.2194968,129.0829728,POINT (129.0829728 35.2194968),온천장
152,미포,35.1592786,129.1699201,POINT (129.1699201 35.1592786),미포.문탠로드입구
153,미포철길,35.1599565,129.1708304,POINT (129.1708304 35.1599565),미포.문탠로드입구
154,민락수변공원,35.1566083,129.1318919,POINT (129.1318919 35.1566083),민락수변공원
