name,lat,lon
성암사,35.1456257,129.0798654
성지곡수원지,35.1858587,129.0420056
센텀 APEC나루공원,35.1896763,129.1209212
센텀시티 아이스링크,35.1687032,129.1297466
소두방공원,35.3279169,129.1817747
소름요,35.2434287,129.2416312
송도 구름산책로(스카이워크),35.0753572,129.0223137
송도반도,35.0699873,129.0195798
송도용궁구름다리,35.0642894,129.0138732
송도해수욕장,35.0754546,129.016761
송도해안볼레길,35.06731,129.0176327
송상현광장,35.1651436,129.0669205
송정 죽도공원,35.1797209,129.2058301
송정서핑학교,35.1798085,129.2003641
송정역,35.1810537,129.2004153
송정해수욕장,35.1786125,129.1997133
수국꽃문화축제,35.0560546,129.0889113
수리조선소길,35.0923594,129.0334742
수미르공원,35.1006692,129.0383469
수산과학관,35.1922021,129.2232732
수영강상설카약체험장,35.166017,129.1235985
수영만 요트경기장,35.160915,129.1405557
수영민속예술관,35.1710871,129.1139105
수영사적공원,35.1710871,129.1139105
스카이라인루지,35.1943634,129.2202453
스파랜드 센텀시티,35.1687032,129.1297466
스포원파크,35.2913418,129.1053512
스포원파크 경륜장,35.2906193,129.1051094
승학산,35.1317807,128.9853735
신선대,35.1094524,129.0978349
신세계 센텀시티,35.1788264,129.1248781
신평소공원,35.2940485,129.2602898
신호공원,35.0822862,128.8709202
씨라이프 부산아쿠아리움,35.1592713,129.1610038
아난티코브 야외공연장,35.2188193,129.2313695
아미르공원,35.0744236,129.069341
아미산 전망대,35.0527681,128.9607646
아홉산숲,35.2871145,129.1715058
안데르센 동화마을,35.3584529,129.2455484
안심치유정원,35.2898417,129.1101998
안적사,35.2141739,129.1699038
암남공원,35.0625049,129.0152358
약수암,35.17823,128.9965401
에덴공원,35.1099114,128.9627544
역사의 디오라마,35.1117279,129.0312665
영도 등대,35.0523754,129.092199
영도 조내기 고구마 역사기념관,35.0855809,129.0577029
영도 청학배수지 전망대,35.0883701,129.0600724
영도 하늘전망대,35.0739797,129.0541222
영도 흰여울해안터널,35.0779066,129.0453305
영도관광사격장,35.0739797,129.0541222
영도다리축제,35.0807489,129.0791699
영도마리나오토캠핑장,35.0999374,129.0599973
영도커피페스티벌,35.0807489,129.0791699
영주하늘눈전망대,35.1145696,129.0306501
옛백제병원,35.1163493,129.039158
오륙도,35.0937934,129.1264236
오륙도 등대,35.0911824,129.1268428
오륙도 스카이워크,35.1004601,129.1194239
오륙도해맞이공원,35.1155121,129.115598
오륜대 한국순교자박물관,35.246003,129.1011063
오륜대전망대,35.2482736,129.1132171
오시리아 해안산책로,35.1964237,129.2284464
옥련선원,35.1613667,129.1265806
옥정사,35.3112896,129.2223442
온천천시민공원,35.1816156,129.0882418
올림픽동산,35.1650508,129.1347629
외양포항,35.0051702,128.8240511
요산문학관,35.2722691,129.0858235
요트탈래,35.1560938,129.1520503
용두산공원,35.1006536,129.0326226
용소웰빙공원,35.2463015,129.204155
용호동일대(낚시터),35.1155121,129.115598
용호별빛공원,35.1321428,129.1200872
우암동 도시 숲,35.1273176,129.0741691
우장춘기념관,35.2135153,129.0720353
운수사,35.1842751,129.013442
울림공원,35.1015616,128.926792
월전장어구이촌,35.238079,129.2441897
월전항방파제,35.2383088,129.2451611
유엔평화기념관,35.1238395,129.0923986
유치환 우체통 전망대,35.1220592,129.0342041
은진사,35.3357132,129.2777865
을숙도공원,35.1120046,128.9473498
이기대 섭자리,35.1318453,129.1211447
이기대 해안산책로,35.1321917,129.1206464
이동항,35.2726135,129.2462893
이바구공작소,35.1171544,129.0336556
이중섭거리,35.1394197,129.0560616
일광해수욕장,35.2597783,129.2339709
임랑카라반파크,35.3091686,129.2594192
임랑해수욕장,35.3184861,129.2643145
임시수도기념관,35.1034532,129.0174521
자갈치 시장,35.0966394,129.0305933
장림포구 부네치아,35.079368,128.9515836
장미원,35.2333572,129.0098884
장산,35.1944152,129.1446902
장안사,35.3745942,129.2329263
장안사계곡,35.3730001,129.2324419
장안캠프,35.3420668,129.253249
재난안전체험관,35.2913418,129.1053512
재한유엔기념공원 (UN기념공원),35.1277489,129.0956469
전포카페거리,35.1561824,129.063288
전포커피축제,35.1561824,129.063288
절영해안산책로,35.0732314,129.0514013
정관박물관,35.3279169,129.1817747
정관생태하천학습문화축제,35.3169318,129.1661425
정란각/문화공감수정,35.1256395,129.042676
정인갤러리,35.0994819,129.0361624
젖병등대,35.2138037,129.2236064
제이스글램핑,35.2772827,129.2341337
조방해수탕,35.1418595,129.0626584
조선통신사역사관,35.1360296,129.0613943
조선통신사축제,35.1360296,129.0613943
좌수영성지,35.1709344,129.113835
죽성성당,35.2411292,129.2478696
죽성항/황학대,35.242349,129.2468819
중앙공원,35.3205744,129.1807934
중앙해수랜드,35.1256135,129.1106458
지오클럽카라반파크,35.2578838,129.2351956
차성문화제,35.2726245,129.1551824
차이나타운특구 문화축제,35.1145144,129.0380695
창비부산,35.1163493,129.039158
천마산하늘전망대,35.09358,129.0173755
천성항 방파제등대,35.0301801,128.810662
청사포,35.1603874,129.1923456
청사포 다릿돌전망대,35.1625451,129.1899803
청학 수변공원,35.0976585,129.0611556
초량 이바구길,35.1161385,129.0361922
초량 차이나타운,35.1145144,129.0380695
초량교회,35.1170003,129.0368197
초원숲속글램핑,35.3439075,129.1919812
추리문학관,35.1616811,129.1833273
충렬사,35.2007382,129.096243
친환경 스카이웨이 전망대(이바구길),35.1203301,129.0319525
칠암항,35.2996125,129.262656
카운트다운&해맞이축제,35.1586283,129.1590673
캐니언파크 부산,35.1422239,129.0672816
크리스마스트리문화축제,35.0990683,129.031487
키자니아 부산,35.1788264,129.1248781
킴스아트필드미술관,35.2523668,129.0541277
태종대,35.05307,129.0872
태종대 전망대,35.050432,129.0884
태종대스쿠버다이빙,35.0618129,129.0764693
태종대온천찜질방,35.0645327,129.0799847
태종사,35.0560546,129.0889113
통일아시아드공원,35.0556365,128.9674986
