parking_nm,p_latitude,p_longitude
초1-1(주거지),35.11736262,129.0357646
초1-2(주거지),35.1150454,129.0361588
초1-3(주거지),35.11981545,129.0386685
초1-4(주거지),35.11981545,129.0386685
초2-1(주거지),35.11755261,129.033896
초2-3(주거지),35.1191079,129.0352991
초2-4(주거지),35.11785109,129.0339385
초3-1(주거지),35.12196319,129.0382789
초4-1(주거지),35.12106205,129.0329128
초4-2(주거지),35.11936157,129.0328574
초4-3(주거지),35.11950875,129.0350414
초6-4(주거지),35.12395517,129.0364332
초6-5(주거지),35.11948297,129.0297016
초6-7(주거지),35.12462373,129.0348309
초량1동업무지,35.11276595,129.0368785
초량3동-업무지2구간,35.11870094,129.0412774
초량3동-업무지3구간,35.12079148,129.0417156
초량3동-업무지4구간,35.1223519,129.0393854
초량3동-업무지5구간,35.12179798,129.0429517
초량3동-업무지6구간,35.12032181,129.0441278
초량3동-업무지7구간,35.12379588,129.0452479
초량3동-업무지8구간,35.12017112,129.0428057
제1지하도옆,35.11900702,129.0434347
제7기동대앞고가도로밑,35.12974704,129.0544179
조선생명뒤,35.12613367,129.0470526
좌천1동공영,35.13327668,129.0505487
좌천4동공영,35.13472964,129.0464824
진로창고옆,35.11991224,129.0431941
차이나타운,35.1152382,129.0379841
초량2동공영,35.11859783,129.0336895
초량6동공영,35.13134562,129.0485696
초량6동제2공영주차장,35.12202711,129.0361922
한양삼익아파트옆,35.1409748,129.0610412
한양아파트3호동뒤,35.1409748,129.0610412
한양아파트3호동앞,35.1409748,129.0610412
행복예식장옆,35.1409748,129.0610412
화신칼라앞 공영주차장,35.13884173,129.0599298
흥국생명앞,35.11870094,129.0412774
범일2동 제1노상공영주차장,35.13809798,129.0650803
범일2동 제2노상공영주차장,35.13809798,129.0650803
범1-1(주거지),35.13871348,129.0521946
범1-2(주거지),35.1392086,129.0525449
범1-3(주거지),35.13919365,129.0534266
범1-4(주거지),35.1383409044,129.0541777990
범1-6(주거지),35.1388698,129.055731
범2-1(주거지),35.13474282,129.0574088
범4-1(주거지),35.13804567,129.0499092
범4-2(주거지),35.13804567,129.0499092
범4-3(주거지),35.13806421,129.0524328
범4-4(주거지),35.13806421,129.0524328
범4-5(주거지),35.13806421,129.0524328
범4-6(주거지),35.13806421,129.0524328
범4-7(주거지),35.13806421,129.0524328
범5-2(주거지),35.13307981,129.0572704
범5-4(주거지),35.13307981,129.0572704
범5-6(주거지),35.13307981,129.0572704
범6-1(주거지),35.13806421,129.0524328
범6-2(주거지),35.13806421,129.0524328
범6-3(주거지),35.13806421,129.0524328
범일2동-업무지-2구간,35.13842132,129.0655668
범일2동-업무지-3구간,35.13505717,129.0611816
범일2동-업무지-5구간,35.13574371,129.0604485
범1-5(주거지),35.1388698,129.055731
범일5동-업무지-1구간,35.13017922,129.0572018
범일5동-업무지-3구간,35.13307981,129.0572704
수1-1(주거지),35.12565538,129.0375768
수1-3(주거지),35.12565292,129.0413632
수3-1(주거지),35.13292321,129.0439492
수3-2(주거지),35.13271179,129.0417368
수3-3(주거지),35.13292321,129.0439492
수3-4(주거지),35.1285545,129.0437259
수3-5(주거지),35.13034357,129.0423754
수3-6(주거지),35.12898178,129.0416876
수3-7(주거지),35.13005029,129.0418108
수3-8(주거지),35.13143257,129.0427799
수4-1(주거지),35.12735777,129.0388039
수4-2(주거지),35.12839417,129.0397643
수4-3(주거지),35.12839417,129.0397643
수4-4(주거지),35.12780372,129.0367221
수4-5(주거지),35.12583928,129.0427104
수5-1(주거지),35.11972158,129.0294443
수5-10(주거지),35.13741216,129.0464442
수5-2(주거지),35.13408742,129.0413895
수5-3(주거지),35.11972158,129.0294443
수5-4(주거지),35.1336043,129.0405393
수2-1(주거지),35.12943335,129.0439805
수5-5(주거지),35.13581194,129.0430122
수5-6(주거지),35.13196105,129.044999
수5-7(주거지),35.13239793,129.0434622
수5-8(주거지),35.13270046,129.0453997
수5-9(주거지),35.13570193,129.0437642
수1-4(주거지),35.12588446,129.0396008
수5-11(주거지),35.13462549,129.0419733
범1-10(주거지),35.1399746,129.0537139
범1-17(주거지),35.13778041,129.0497944
초6-8(주거지),35.12119652,129.0382116
송정호안도로,,
송정 광어골,,
해운대교육지원청주변공영,35.17688155,129.1759429
반여2동 제1공영,35.19571685,129.1273916
반여2동 제2공영,35.19424621,129.1323064
반여4동 공영,,
반송1동 제1공영,35.22081459,129.146627
반송1동 제2공영,35.22497776,129.1515028
