,parking_nm,addr,Latitude,Longitude
108,해표사료주변,부산광역시 사상구 새벽시장로9번길 28,35.1573741,128.9755458
109,공영주차장(신일금속),부산광역시 사상구 장인로77번길 116,35.1470074,128.9789756
110,삼락재첩거리주변,부산광역시 사상구 낙동대로1518번길 33,35.1933995,128.9858589
111,엄궁외식1번가주변,부산광역시 사상구 농산물시장로 36,35.1265554,128.9670998
112,학장동주민센터주변,부산광역시 사상구 학감대로147번길 11,35.1441066,128.9873327
113,동서고가도로밑주변,부산광역시 사상구 백양대로445번길 2,35.1524844,129.0028858
114,동신운수옆복개공영주차장,부산광역시 사상구 가야대로230번길 3,35.1489696999999,128.9975886
115,주례오거리공영주차장,부산광역시 사상구 가야대로255번길 17,35.1512604,129.0011279
116,감전중천주변,부산광역시 사상구 새벽시장로56번가길 63,35.1541654,128.9771868
117,엄궁초등학교지하주차장,부산광역시 사상구 엄궁로191번길 23,35.1291981,128.9746688
118,학장천공영주차장,부산광역시 사상구 학장로 256,35.1456732,128.9947142
119,덕포백양공원공영주차장,부산광역시 사상구 백양대로762번길 17,35.174904,128.9895954
120,양지2공원주변,부산광역시 사상구 양지로 18,35.1540902,129.0044673
121,고동바위공영주차장,부산광역시 사상구 백양대로907번다길 6,35.188172,128.990314
122,모라중학교 지하(노외),부산광역시 사상구 백양대로 936,35.1902523,128.9926407
123,감전역 역세권 공영주차장,부산광역시 사상구 백양대로 936,35.1902523,128.9926407
124,금강공원공영주차장,부산광역시 동래구 우장춘로 192,35.2228727,129.0773859
125,사적공원공영주차장,부산광역시 동래구 문화로 62,35.2110122,129.0887974
126,명장동공영주차장,부산광역시 동래구 시실로 135번길 39,35.2105209,129.0979824
127,동래시장공영주차장,부산광역시 동래구 동래로 148번길 13,35.2044807,129.0860799
128,스포원 주차장(동측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,35.2919581,129.1031423
129,스포원 주차장(서측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,35.2919581,129.1031423
130,스포원 주차장(남측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,35.2919581,129.1031423
131,스포원 주차장(북측),부산광역시 금정구 체육공원로 399번길 324(두구동) 부산지방공단스포원,35.2919581,129.1031423
132,황금로 공영주차장,부산광역시 연제구 금련로42번길 18(연산동),35.1703754,129.0951811
133,연일 공동주차장,부산광역시 연제구 고분로20번길 20-8(연산동),35.1844658,129.0843666
134,과정 공영주차장,부산광역시 연제구 과정로265번길 20(연산동),35.1869402,129.0987532
135,연산3동 금련 공영주차장,부산광역시 연제구 금련로38번길 50(연산동),35.1712805,129.0946033
136,연미노외공영주차장,부산광역시 연제구 연수로 221(연산동),35.173736,129.0950615
137,한양아파트 앞 공영주차장,부산광역시 연제구 연안로13번길 일원(연산동),35.1888313,129.1051234
138,시티타워 뒤 공영주차장,부산광역시 연제구 거제천로182번길 3(연산동),35.1893329,129.0793596
139,태경선샤인아파트 앞 공영주차장,부산광역시 연제구 중앙대로1238 일원(거제동),35.1979265,129.0792756
140,연제문화체육공원 공영주차장,부산광역시 연제구 고분로68번길 25(연산동),35.1847855,129.0905248
141,중앙동 교보생명 옆 공영주차장,부산광역시 중구 중앙대로116번길 12,35.1074818,129.0378465
142,중부소방서 뒤 공영주차장,부산광역시 중구 중앙대로 130,35.1089834,129.0374377
143,중앙동 객화차담 밑 공영주차장,부산광역시 중구 충장대로13번길 40,35.1083332,129.0391527
144,중앙동 마린센터 공영주차장,부산광역시 중구 충장대로5번길 72,35.1110994,129.0389674
145,중앙동 KT 뒤 공영주차장,부산광역시 중구 충장대로5번길 69,35.1113517,129.0385559
146,부산데파트 뒤 공영주차장,부산광역시 중구 해관로 41-2,35.1026892,129.0355142
147,부산우체국 뒤 공영주차장,부산광역시 중구 해관로 63-1,35.104599,129.0353299
148,국제회관 옆 공영주차장,부산광역시 중구 대교로 103,35.0994174,129.0374854
149,유창빌딩 앞 공영주차장,부산광역시 중구 중앙대로 72,35.1041451,129.0367578
150,신한은행부산금융센터 뒤 공영주차장,부산광역시 중구 해관로 7,35.0994297,129.0356188
151,국제시장로 1구간 공영주차장,부산광역시 중구 중구로 32,35.1008479,129.0280709
152,광복로 부평동구간 공영주차장,부산광역시 중구 광복로 13,35.0995865999999,129.0264955
153,보수복개천 공영주차장,부산광역시 중구 보수대로 42,35.1005247,129.0239758
154,자갈치시장 앞 공영주차장,부산광역시 중구 자갈치해안로 52,35.0966394,129.0305933
155,건어물시장 공영주차장,부산광역시 중구 구덕로 19-1,35.0974083,129.0333515
156,중앙동 공영주차장,부산광역시 중구 대청로135번길 36,35.1059048,129.035262
157,영주 공영주차장,부산광역시 중구 동영로 58,35.1108277,129.0321563
158,용두산 공영주차장,부산광역시 중구 대청로 120,35.1024505,129.032949
159,보수 공영주차장,부산광역시 중구 중구로75번길 25,35.1039266,129.0280175
160,보수종합시장 공영주차장,부산광역시 중구 보수대로106번길 27,35.1043343,129.0223299
161,대청 공영주차장,부산광역시 중구 망양로 333,35.1087718,129.0284657
162,부평 공영주차장,부산광역시 중구 중구로33번길 32,35.1010815,129.026138
163,신창 공영주차장,부산광역시 중구 광복로35번길 35,35.1024418,129.0286767
164,자갈치 공영주차장,부산광역시 중구 구덕로 93,35.0964124,129.0260159
165,봉생병원옆,부산광역시 동구 중앙대로 401 (좌천동),35.1350301,129.0553946
166,LIG사옥옆,부산광역시 동구 자성로133번길 15 (범일동),35.1382504,129.0640918
167,SK증권앞,부산광역시 동구 조방로 39-7 (범일동),35.1399484,129.0606145
168,SK텔레콤앞,부산광역시 동구 자성로 115 (범일동),35.1367666,129.0630739
169,가구거리 공영,부산광역시 동구 중앙대로 471-10 (범일동),35.1355709,129.0552886
