name,lat,lon,geometry,x_nm,x_dist
부산 자갈치 양곱창 골목,35.097234,129.0274542,POINT (129.0274542 35.097234),자갈치 공영주차장,159.8
부산 치유의 숲,35.2667462,129.1263909,POINT (129.1263909 35.2667462),온천천복개도로노상공영주차장,3410.3
부산 칠드런스 뮤지엄,35.2188193,129.2313695,POINT (129.2313695 35.2188193),신천리공영주차장,2797.8
부산 트릭아이뮤지엄,35.101702,129.0337655,POINT (129.0337655 35.101702),용두산 공영주차장,111.6
부산 해운대도서관,35.1779728,129.1688996,POINT (129.1688996 35.1779728),대천공원공영주차장,70.1
부산고등어축제,35.0769252,129.0180734,POINT (129.0180734 35.0769252),남항방파제,1806.5
부산공간화랑,35.1577232,129.1500962,POINT (129.1500962 35.1577232),동백섬주차장,239.1
부산과학기술대학교 민속자료실,35.1947185,129.0041425,POINT (129.0041425 35.1947185),모라중학교 지하(노외),1159.3
부산광안대교,35.1771641,129.1205683,POINT (129.1205683 35.1771641),지에스타임즈스테이션센텀필주차장,813.5
부산광역시 영도도서관,35.0753352,129.0660111,POINT (129.0660111 35.0753352),영도중학교옆,367.7
부산광역시립 부전도서관,35.1558256,129.0620476,POINT (129.0620476 35.1558256),경남공고 뒤,275.0
부산광역시립 사하도서관,35.103086,128.991053,POINT (128.991053 35.103086),보수종합시장 공영주차장,2856.1
부산광역시립 중앙도서관,35.1099927,129.0270921,POINT (129.0270921 35.1099927),대청 공영주차장,184.5
부산국제록페스티벌,35.1770248,128.9776229,POINT (128.9776229 35.1770248),덕포백양공원공영주차장,1116.1
부산국제영화제,35.1711778,129.1271956,POINT (129.1271956 35.1711778),센텀Q주차장,446.2
부산근대역사관,35.1026721,129.031176,POINT (129.031176 35.1026721),용두산 공영주차장,163.6
부산남항,35.0920883,129.0373586,POINT (129.0373586 35.0920883),토토볼링장앞,256.9
부산다이아몬드타워,35.1007009,129.0323127,POINT (129.0323127 35.1007009),용두산 공영주차장,202.7
부산동명불원,35.1201235,129.1040898,POINT (129.1040898 35.1201235),유엔평화로 153번길,625.7
부산라벤더팜,35.2603167,129.1489009,POINT (129.1489009 35.2603167),반송2동 공영,3223.0
부산롯데월드,35.2445494,129.2221542,POINT (129.2221542 35.2445494),군청사부설주차장,135.9
부산민주공원,35.1100718,129.0280727,POINT (129.0280727 35.1100718),대청 공영주차장,148.7
부산바다축제,35.1896429,129.0569842,POINT (129.0569842 35.1896429),시티타워 뒤 공영주차장,2039.1
부산박물관,35.1295178,129.094151,POINT (129.094151 35.1295178),제2주거지전용주차장,375.6
부산불꽃축제,35.1526648,129.118203,POINT (129.118203 35.1526648),광안리해수욕장 공영주차장,229.5
부산비엔날레,35.1092764,128.9427503,POINT (128.9427503 35.1092764),엄궁외식1번가주변,2934.0
부산세관박물관,35.1045621,129.0385872,POINT (129.0385872 35.1045621),유창빌딩 앞 공영주차장,173.2
부산시립미술관,35.1650508,129.1347629,POINT (129.1347629 35.1650508),센텀Q주차장,923.3
부산시민공원,35.1660271,129.057532,POINT (129.057532 35.1660271),유원오피스텔 뒤,731.0
부산어린이대공원,35.1829938,129.0463494,POINT (129.0463494 35.1829938),유원오피스텔 뒤,2703.9
부산어린이워터파크 키드키득파크,35.1892737,129.0410266,POINT (129.0410266 35.1892737),시티타워 뒤 공영주차장,3492.8
부산어촌민속관,35.2335364,129.0088228,POINT (129.0088228 35.2335364),삼락재첩거리주변,4921.4
부산엑스더스카이,35.1597189,129.1696769,POINT (129.1696769 35.1597189),미포주차장,88.0
부산영화체험박물관,35.1007203,129.0341698,POINT (129.0341698 35.1007203),신한은행부산금융센터 뒤 공영주차장,194.9
부산영화촬영스튜디오,35.160915,129.1405557,POINT (129.1405557 35.160915),민락수변공원 공영주차장,1002.7
부산요트투어 3355마린,35.160915,129.1405557,POINT (129.1405557 35.160915),민락수변공원 공영주차장,1002.7
부산원도심골목길축제,35.1007009,129.0323127,POINT (129.0323127 35.1007009),용두산 공영주차장,202.7
부산원아시아페스티벌(BOF),35.1899786,129.0582686,POINT (129.0582686 35.1899786),시티타워 뒤 공영주차장,1923.1
부산자갈치축제,35.0966394,129.0305933,POINT (129.0305933 35.0966394),자갈치시장 앞 공영주차장,0.0
부산자연곤충마을,35.2216282,128.9454039,POINT (128.9454039 35.2216282),금호주차장,1070.4
부산자유회관(부산통일관),35.1822629,129.0457142,POINT (129.0457142 35.1822629),유원오피스텔 뒤,2644.9
부산점자도서관,35.1781075,128.9898274,POINT (128.9898274 35.1781075),덕포백양공원공영주차장,356.2
부산중앙공원,35.1164669,129.0277899,POINT (129.0277899 35.1164669),초6-5(주거지),375.2
부산진성공원,35.1360296,129.0613943,POINT (129.0613943 35.1360296),범일2동-업무지-5구간,0.0
부산진일신여학교,35.1348219,129.0529022,POINT (129.0529022 35.1348219),좌1-2(주거지),99.6
부산차량융합기술단(부산철도차량정비단),35.159513,129.0419293,POINT (129.0419293 35.159513),유원오피스텔 뒤,1207.1
부산푸드필름페스타,35.1618686,129.1587994,POINT (129.1587994 35.1618686),동백주차장,68.2
부산항 힐링야영장,35.11493,129.0453984,POINT (129.0453984 35.11493),왕자빌딩앞,367.7
부산항축제,35.0783256,129.0798565,POINT (129.0798565 35.0783256),하수종말처리장옆,937.7
부산해양자연사박물관,35.2219498,129.0756469,POINT (129.0756469 35.2219498),금강공원공영주차장,188.6
부산현대미술관,35.1092764,128.9427503,POINT (128.9427503 35.1092764),엄궁외식1번가주변,2934.0
북맛골,35.2370218,129.0831233,POINT (129.0831233 35.2370218),온천장북측공영주차장,740.0
브릭캠퍼스 부산,35.1920492,129.2154602,POINT (129.2154602 35.1920492),기린주차장,1337.3
비석문화마을,35.0997958,129.0125588,POINT (129.0125588 35.0997958),보수종합시장 공영주차장,1023.7
사상강변축제,35.1963367,128.9842505,POINT (128.9842505 35.1963367),삼락재첩거리주변,357.4
사상근린공원,35.1522143,128.9766915,POINT (128.9766915 35.1522143),감전중천주변,221.2
산복도로,35.1145501,129.0330424,POINT (129.0330424 35.1145501),초1-2(주거지),290.8
삼광사,35.1754288,129.0433882,POINT (129.0433882 35.1754288),유원오피스텔 뒤,2046.3
삼광사연등축제,35.1754288,129.0433882,POINT (129.0433882 35.1754288),유원오피스텔 뒤,2046.3
삼락벚꽃축제,35.1688207,128.9764729,POINT (128.9764729 35.1688207),파라곤호텔주변,835.2
삼락생태공원,35.1687484,128.9735403,POINT (128.9735403 35.1687484),파라곤호텔주변,971.6
삼락생태공원오토캠핑장,35.1688207,128.9764729,POINT (128.9764729 35.1688207),파라곤호텔주변,835.2
삼락수상레포츠타운,35.1694172,128.965698,POINT (128.965698 35.1694172),동원주차장,1355.3
삼익비치수변공원,35.1456754,129.1134193,POINT (129.1134193 35.1456754),광안리해수욕장 공영주차장,691.1
삼진어묵체험역사관,35.0929647,129.042794,POINT (129.042794 35.0929647),봉래시장,92.2
서면1번가,35.1535608,129.0582888,POINT (129.0582888 35.1535608),경남공고 뒤,476.2
서면메디컬스트리트축제,35.1542841,129.0573158,POINT (129.0573158 35.1542841),경남공고 뒤,569.0
서면미술관,35.1540272,129.062776,POINT (129.062776 35.1540272),경남공고 뒤,78.5
서프마린,35.1433894,129.1103248,POINT (129.1103248 35.1433894),남천1동 공영주차장,406.2
선암사,35.176937,129.0277633,POINT (129.0277633 35.176937),가야중복도로,2868.4
성암사,35.1456257,129.0798654,POINT (129.0798654 35.1456257),효성택시 진입로,272.7
